V1	V2
289	PT039_P11_A11_S11	epithelial
290	PT039_P11_A12_S12	epithelial
291	PT039_P11_B02_S14	epithelial
292	PT039_P11_B03_S15	epithelial
293	PT039_P11_B04_S16	epithelial
294	PT039_P11_B05_S17	epithelial
295	PT039_P11_B06_S18	stroma
296	PT039_P11_B07_S19	epithelial
297	PT039_P11_B08_S20	epithelial
298	PT039_P11_B09_S21	stroma
299	PT039_P11_B10_S22	stroma
300	PT039_P11_B11_S23	epithelial
301	PT039_P11_C03_S27	epithelial
302	PT039_P11_C05_S29	epithelial
303	PT039_P11_C06_S30	epithelial
304	PT039_P11_C07_S31	epithelial
305	PT039_P11_C09_S33	epithelial
306	PT039_P11_C11_S35	epithelial
307	PT039_P11_C12_S36	epithelial
308	PT039_P11_D01_S37	epithelial
309	PT039_P11_D02_S38	epithelial
310	PT039_P11_D03_S39	epithelial
311	PT039_P11_D04_S40	epithelial
312	PT039_P11_D05_S41	epithelial
313	PT039_P11_D07_S43	epithelial
314	PT039_P11_D08_S44	epithelial
315	PT039_P11_D09_S45	epithelial
316	PT039_P11_D10_S46	epithelial
317	PT039_P11_D12_S48	stroma
318	PT039_P11_E01_S49	epithelial
319	PT039_P11_E02_S50	stroma
320	PT039_P11_E03_S51	epithelial
321	PT039_P11_E04_S52	epithelial
322	PT039_P11_E05_S53	epithelial
323	PT039_P11_E06_S54	epithelial
324	PT039_P11_E09_S57	epithelial
325	PT039_P11_E11_S59	epithelial
326	PT039_P11_E12_S60	epithelial
327	PT039_P11_F01_S61	epithelial
328	PT039_P11_F02_S62	epithelial
329	PT039_P11_F03_S63	stroma
330	PT039_P11_F05_S65	epithelial
331	PT039_P11_F06_S66	epithelial
332	PT039_P11_F07_S67	epithelial
333	PT039_P11_F10_S70	epithelial
334	PT039_P11_F11_S71	epithelial
335	PT039_P11_F12_S72	epithelial
336	PT039_P11_G01_S73	epithelial
337	PT039_P11_G02_S74	epithelial
338	PT039_P11_G03_S75	epithelial
339	PT039_P11_G04_S76	epithelial
340	PT039_P11_G05_S77	epithelial
341	PT039_P11_G07_S79	stroma
342	PT039_P11_G08_S80	epithelial
343	PT039_P11_G09_S81	epithelial
344	PT039_P11_G10_S82	epithelial
345	PT039_P11_G12_S84	epithelial
346	PT039_P11_H01_S85	epithelial
347	PT039_P11_H02_S86	epithelial
348	PT039_P11_H03_S87	epithelial
349	PT039_P11_H04_S88	stroma
350	PT039_P11_H06_S90	epithelial
351	PT039_P11_H07_S91	stroma
352	PT039_P11_H08_S92	epithelial
353	PT039_P11_H10_S94	epithelial
354	PT039_P11_H12_S96	epithelial
355	PT039_P1_A01	macrophage
356	PT039_P1_A02	macrophage
357	PT039_P1_A03	epithelial
358	PT039_P1_A04	epithelial
359	PT039_P1_A05	epithelial
360	PT039_P1_A06	stroma
361	PT039_P1_A07	stroma
362	PT039_P1_A08	epithelial
363	PT039_P1_A09	macrophage
364	PT039_P1_A10	macrophage
365	PT039_P1_A11	stroma
366	PT039_P1_A12	macrophage
367	PT039_P1_B01	stroma
368	PT039_P1_B02	epithelial
369	PT039_P1_B03	macrophage
370	PT039_P1_B04	epithelial
371	PT039_P1_B05	epithelial
372	PT039_P1_B06	epithelial
373	PT039_P1_B09	epithelial
374	PT039_P1_B10	macrophage
375	PT039_P1_B11	epithelial
376	PT039_P1_B12	epithelial
377	PT039_P1_C01	epithelial
378	PT039_P1_C02	epithelial
379	PT039_P1_C03	epithelial
380	PT039_P1_C04	epithelial
381	PT039_P1_C05	macrophage
382	PT039_P1_C06	epithelial
383	PT039_P1_C07	macrophage
384	PT039_P1_C08	epithelial
385	PT039_P1_C09	epithelial
386	PT039_P1_C10	epithelial
387	PT039_P1_C11	epithelial
388	PT039_P1_C12	epithelial
389	PT039_P1_D01	epithelial
390	PT039_P1_D02	epithelial
391	PT039_P1_D03	epithelial
392	PT039_P1_D04	epithelial
393	PT039_P1_D05	epithelial
394	PT039_P1_D06	epithelial
395	PT039_P1_D07	macrophage
396	PT039_P1_D08	macrophage
397	PT039_P1_D09	macrophage
398	PT039_P1_D10	epithelial
399	PT039_P1_D11	Bcell
400	PT039_P1_D12	epithelial
401	PT039_P1_E01	stroma
402	PT039_P1_E02	epithelial
403	PT039_P1_E03	epithelial
404	PT039_P1_E04	stroma
405	PT039_P1_E05	stroma
406	PT039_P1_E06	epithelial
407	PT039_P1_E07	epithelial
408	PT039_P1_E08	epithelial
409	PT039_P1_E09	epithelial
410	PT039_P1_E10	epithelial
411	PT039_P1_E11	epithelial
412	PT039_P1_F01	epithelial
413	PT039_P1_F02	epithelial
414	PT039_P1_F03	epithelial
415	PT039_P1_F04	epithelial
416	PT039_P1_F05	epithelial
417	PT039_P1_F06	epithelial
418	PT039_P1_F07	epithelial
419	PT039_P1_F08	epithelial
420	PT039_P1_F09	macrophage
421	PT039_P1_F10	epithelial
422	PT058_P1_A01	Tcell
423	PT058_P1_A02	Tcell
424	PT058_P1_A05	epithelial
425	PT058_P1_A06	Bcell
426	PT058_P1_A07	epithelial
427	PT058_P1_A08	epithelial
428	PT058_P1_A10	epithelial
429	PT058_P1_A11	Tcell
430	PT058_P1_A12	epithelial
431	PT058_P1_B02	epithelial
432	PT058_P1_B03	epithelial
433	PT058_P1_B04	epithelial
434	PT058_P1_B06	Tcell
435	PT058_P1_B08	macrophage
436	PT058_P1_B11	epithelial
437	PT058_P1_C01	stroma
438	PT058_P1_C02	stroma
439	PT058_P1_C06	Tcell
440	PT058_P1_C07	epithelial
441	PT058_P1_C08	epithelial
442	PT058_P1_C09	Tcell
443	PT058_P1_C10	epithelial
444	PT058_P1_C12	epithelial
445	PT058_P1_D04	epithelial
446	PT058_P1_D05	Tcell
447	PT058_P1_D06	epithelial
448	PT058_P1_D07	epithelial
449	PT058_P1_D09	epithelial
450	PT058_P1_D11	epithelial
451	PT058_P1_E01	epithelial
452	PT058_P1_E03	epithelial
453	PT058_P1_E04	macrophage
454	PT058_P1_E05	Tcell
455	PT058_P1_E06	epithelial
456	PT058_P1_E07	Tcell
457	PT058_P1_E08	epithelial
458	PT058_P1_E09	Bcell
459	PT058_P1_E11	macrophage
460	PT058_P1_E12	Tcell
461	PT058_P1_F01	Tcell
462	PT058_P1_F02	Bcell
463	PT058_P1_F07	Bcell
464	PT058_P1_F08	epithelial
465	PT058_P1_F09	epithelial
466	PT058_P1_F10	epithelial
467	PT058_P1_F12	epithelial
468	PT058_P1_G01	Bcell
469	PT058_P1_G02	stroma
470	PT058_P1_G03	Tcell
471	PT058_P1_G04	epithelial
472	PT058_P1_G05	epithelial
473	PT058_P1_G07	Tcell
474	PT058_P1_G08	epithelial
475	PT058_P1_G10	stroma
476	PT058_P1_G11	epithelial
477	PT058_P1_H02	Tcell
478	PT058_P1_H03	Tcell
479	PT058_P1_H04	Tcell
480	PT058_P1_H05	Tcell
481	PT058_P1_H06	epithelial
482	PT058_P1_H07	epithelial
483	PT058_P1_H08	epithelial
484	PT058_P1_H12	Tcell
485	PT081_P1_A01	epithelial
486	PT081_P1_A02	epithelial
487	PT081_P1_A03	epithelial
488	PT081_P1_A05	epithelial
489	PT081_P1_A06	epithelial
490	PT081_P1_A07	epithelial
491	PT081_P1_A08	epithelial
492	PT081_P1_A09	epithelial
493	PT081_P1_A10	epithelial
494	PT081_P1_A12	epithelial
495	PT081_P1_B01	epithelial
496	PT081_P1_B02	epithelial
497	PT081_P1_B03	epithelial
498	PT081_P1_B04	epithelial
499	PT081_P1_B05	stroma
500	PT081_P1_B06	epithelial
501	PT081_P1_B07	epithelial
502	PT081_P1_B08	epithelial
503	PT081_P1_B10	epithelial
504	PT081_P1_B11	epithelial
505	PT081_P1_B12	epithelial
506	PT081_P1_C01	epithelial
507	PT081_P1_C02	epithelial
508	PT081_P1_C03	epithelial
509	PT081_P1_C04	epithelial
510	PT081_P1_C05	epithelial
511	PT081_P1_C06	epithelial
512	PT081_P1_C07	epithelial
513	PT081_P1_C08	epithelial
514	PT081_P1_C09	epithelial
515	PT081_P1_C11	epithelial
516	PT081_P1_C12	epithelial
517	PT081_P1_D01	epithelial
518	PT081_P1_D02	epithelial
519	PT081_P1_D03	epithelial
520	PT081_P1_D04	epithelial
521	PT081_P1_D05	epithelial
522	PT081_P1_D06	epithelial
523	PT081_P1_D07	epithelial
524	PT081_P1_D08	epithelial
525	PT081_P1_D09	epithelial
526	PT081_P1_D10	epithelial
527	PT081_P1_D12	epithelial
528	PT081_P1_E01	epithelial
529	PT081_P1_E02	epithelial
530	PT081_P1_E03	epithelial
531	PT081_P1_E04	epithelial
532	PT081_P1_E05	epithelial
533	PT081_P1_E06	epithelial
534	PT081_P1_E07	epithelial
535	PT081_P1_E09	epithelial
536	PT081_P1_E10	epithelial
537	PT081_P1_E11	epithelial
538	PT081_P1_F01	epithelial
539	PT081_P1_F02	epithelial
540	PT081_P1_F03	epithelial
541	PT081_P1_F04	epithelial
542	PT081_P1_F05	epithelial
543	PT081_P1_F06	epithelial
544	PT081_P1_F07	epithelial
545	PT081_P1_F08	epithelial
546	PT081_P1_F11	epithelial
547	PT081_P1_F12	epithelial
548	PT081_P1_G01	epithelial
549	PT081_P1_G02	epithelial
550	PT081_P1_G04	epithelial
551	PT081_P1_G06	epithelial
552	PT081_P1_G07	epithelial
553	PT081_P1_G08	epithelial
554	PT081_P1_G10	epithelial
555	PT081_P1_G11	epithelial
556	PT081_P1_H01	epithelial
557	PT081_P1_H03	epithelial
558	PT081_P1_H04	epithelial
559	PT081_P1_H06	epithelial
560	PT081_P1_H07	epithelial
561	PT081_P1_H08	stroma
562	PT081_P1_H10	epithelial
563	PT081_P1_H11	epithelial
564	PT081_P1_H12	epithelial
565	PT081_P3_A02_S194	epithelial
566	PT081_P3_A03_S195	epithelial
567	PT081_P3_A04_S196	epithelial
568	PT081_P3_A05_S197	epithelial
569	PT081_P3_A08_S200	epithelial
570	PT081_P3_A11_S203	epithelial
571	PT081_P3_A12_S204	epithelial
572	PT081_P3_B01_S205	epithelial
573	PT081_P3_B02_S206	epithelial
574	PT081_P3_B03_S207	epithelial
575	PT081_P3_B04_S208	epithelial
576	PT081_P3_B07_S211	epithelial
577	PT081_P3_B08_S212	epithelial
578	PT081_P3_B09_S213	epithelial
579	PT081_P3_B12_S216	epithelial
580	PT081_P3_C01_S217	epithelial
581	PT081_P3_C02_S218	epithelial
582	PT081_P3_C03_S219	epithelial
583	PT081_P3_C04_S220	epithelial
584	PT081_P3_C05_S221	epithelial
585	PT081_P3_C06_S222	epithelial
586	PT081_P3_C09_S225	epithelial
587	PT081_P3_C10_S226	epithelial
588	PT081_P3_C11_S227	epithelial
589	PT081_P3_C12_S228	epithelial
590	PT081_P3_D01_S229	epithelial
591	PT081_P3_D02_S230	epithelial
592	PT081_P3_D03_S231	epithelial
593	PT081_P3_D04_S232	epithelial
594	PT081_P3_D05_S233	epithelial
595	PT081_P3_D06_S234	epithelial
596	PT081_P3_D10_S238	epithelial
597	PT081_P3_D11_S239	epithelial
598	PT081_P3_E01_S241	epithelial
599	PT081_P3_E02_S242	epithelial
600	PT081_P3_E03_S243	epithelial
601	PT081_P3_E04_S244	epithelial
602	PT081_P3_E06_S246	epithelial
603	PT081_P3_E07_S247	epithelial
604	PT081_P3_E08_S248	epithelial
605	PT081_P3_E11_S251	epithelial
606	PT081_P3_E12_S252	epithelial
607	PT081_P3_F01_S253	epithelial
608	PT081_P3_F03_S255	epithelial
609	PT081_P3_F04_S256	epithelial
610	PT081_P3_F06_S258	epithelial
611	PT081_P3_F08_S260	epithelial
612	PT081_P3_F09_S261	epithelial
613	PT081_P3_F11_S263	epithelial
614	PT081_P3_F12_S264	epithelial
615	PT081_P3_G01_S265	epithelial
616	PT081_P3_G03_S267	epithelial
617	PT081_P3_G04_S268	epithelial
618	PT081_P3_H02_S278	epithelial
619	PT081_P3_H03_S279	epithelial
620	PT081_P3_H04_S280	epithelial
621	PT081_P3_H05_S281	epithelial
622	PT081_P3_H07_S283	epithelial
623	PT081_P3_H09_S285	epithelial
624	PT081_P3_H11_S287	epithelial
625	PT081_P5_A02_S98	epithelial
626	PT081_P5_A03_S99	epithelial
627	PT081_P5_A04_S100	epithelial
628	PT081_P5_A05_S101	epithelial
629	PT081_P5_A06_S102	epithelial
630	PT081_P5_A07_S103	epithelial
631	PT081_P5_A08_S104	epithelial
632	PT081_P5_A09_S105	epithelial
633	PT081_P5_A10_S106	epithelial
634	PT081_P5_A11_S107	epithelial
635	PT081_P5_A12_S108	epithelial
636	PT081_P5_B01_S109	epithelial
637	PT081_P5_B02_S110	epithelial
638	PT081_P5_B03_S111	epithelial
639	PT081_P5_B04_S112	epithelial
640	PT081_P5_B05_S113	epithelial
641	PT081_P5_B06_S114	epithelial
642	PT081_P5_B08_S116	epithelial
643	PT081_P5_B09_S117	epithelial
644	PT081_P5_B10_S118	epithelial
645	PT081_P5_B11_S119	epithelial
646	PT081_P5_B12_S120	epithelial
647	PT081_P5_C01_S121	epithelial
648	PT081_P5_C02_S122	epithelial
649	PT081_P5_C03_S123	epithelial
650	PT081_P5_C04_S124	epithelial
651	PT081_P5_C05_S125	epithelial
652	PT081_P5_C06_S126	epithelial
653	PT081_P5_C07_S127	epithelial
654	PT081_P5_C08_S128	epithelial
655	PT081_P5_C09_S129	epithelial
656	PT081_P5_C10_S130	epithelial
657	PT081_P5_C11_S131	epithelial
658	PT081_P5_D01_S133	epithelial
659	PT081_P5_D02_S134	epithelial
660	PT081_P5_D03_S135	epithelial
661	PT081_P5_D05_S137	epithelial
662	PT081_P5_D07_S139	epithelial
663	PT081_P5_D09_S141	epithelial
664	PT081_P5_D10_S142	epithelial
665	PT081_P5_D11_S143	epithelial
666	PT081_P5_D12_S144	epithelial
667	PT081_P5_E02_S146	epithelial
668	PT081_P5_E03_S147	epithelial
669	PT081_P5_E04_S148	epithelial
670	PT081_P5_E05_S149	epithelial
671	PT081_P5_E06_S150	stroma
672	PT081_P5_E08_S152	epithelial
673	PT081_P5_E09_S153	epithelial
674	PT081_P5_E12_S156	epithelial
675	PT081_P5_F01_S157	epithelial
676	PT081_P5_F02_S158	epithelial
677	PT081_P5_F03_S159	epithelial
678	PT081_P5_F04_S160	epithelial
679	PT081_P5_F05_S161	epithelial
680	PT081_P5_F06_S162	epithelial
681	PT081_P5_F08_S164	epithelial
682	PT081_P5_F09_S165	epithelial
683	PT081_P5_F10_S166	epithelial
684	PT081_P5_F11_S167	epithelial
685	PT081_P5_F12_S168	epithelial
686	PT081_P5_G01_S169	epithelial
687	PT081_P5_G02_S170	epithelial
688	PT081_P5_G03_S171	epithelial
689	PT081_P5_G04_S172	epithelial
690	PT081_P5_G05_S173	epithelial
691	PT081_P5_G06_S174	epithelial
692	PT081_P5_G08_S176	epithelial
693	PT081_P5_G09_S177	epithelial
694	PT081_P5_G11_S179	epithelial
695	PT081_P5_H01_S181	epithelial
696	PT081_P5_H02_S182	epithelial
697	PT081_P5_H03_S183	epithelial
698	PT081_P5_H04_S184	epithelial
699	PT081_P5_H05_S185	epithelial
700	PT081_P5_H06_S186	epithelial
701	PT081_P5_H07_S187	epithelial
702	PT081_P5_H08_S188	epithelial
703	PT081_P5_H09_S189	epithelial
704	PT081_P5_H11_S191	epithelial
705	PT084_P11_A05_S293	epithelial
706	PT084_P11_A06_S294	epithelial
707	PT084_P11_A07_S295	epithelial
708	PT084_P11_A09_S297	epithelial
709	PT084_P11_A11_S299	Bcell
710	PT084_P11_A12_S300	Tcell
711	PT084_P11_B02_S302	epithelial
712	PT084_P11_B03_S303	Tcell
713	PT084_P11_B07_S307	Bcell
714	PT084_P11_B08_S308	Tcell
715	PT084_P11_B09_S309	Tcell
716	PT084_P11_B11_S311	Bcell
717	PT084_P11_B12_S312	Bcell
718	PT084_P11_C01_S313	Bcell
719	PT084_P11_C02_S314	macrophage
720	PT084_P11_C03_S315	epithelial
721	PT084_P11_C04_S316	macrophage
722	PT084_P11_C05_S317	Tcell
723	PT084_P11_C06_S318	Tcell
724	PT084_P11_C07_S319	Tcell
725	PT084_P11_C08_S320	macrophage
726	PT084_P11_C09_S321	Tcell
727	PT084_P11_C10_S322	Tcell
728	PT084_P11_C11_S323	Tcell
729	PT084_P11_D03_S327	Tcell
730	PT084_P11_D05_S329	Tcell
731	PT084_P11_D06_S330	Bcell
732	PT084_P11_D07_S331	Tcell
733	PT084_P11_D08_S332	Tcell
734	PT084_P11_D09_S333	macrophage
735	PT084_P11_D11_S335	Tcell
736	PT084_P11_D12_S336	Tcell
737	PT084_P11_E01_S337	Tcell
738	PT084_P11_E03_S339	epithelial
739	PT084_P11_E04_S340	Tcell
740	PT084_P11_E05_S341	Bcell
