ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_1728572	NM_018431.3	20	DOK5	2.76
ILMN_2324002	NM_033157.2	7	CALD1	2.75
ILMN_1681984	NM_017540.3	5	GALNT10	2.74
ILMN_1760849	NM_018092.3	16	NETO2	2.74
ILMN_1653856	NM_032873.3	11	STS-1	2.74
ILMN_2380801	NM_153048.1	6	FYN	2.73
ILMN_1861057				2.73
ILMN_1674050	NM_005202.1	1	COL8A2	2.72
ILMN_1654598	NM_024726.3	2	IQCA	2.70
ILMN_1748323	NM_004887.3	5	CXCL14	2.69
ILMN_1691413	NM_181689.1	20	NNAT	2.69
ILMN_1766925	NM_001257.3	16	CDH13	2.69
ILMN_2389876	NM_015927.3	16	TGFB1I1	2.68
ILMN_1701731	NM_001628.2	7	AKR1B1	2.67
ILMN_1767934	NM_006200.2	9	PCSK5	2.67
ILMN_2295518	NM_001039705.1	X	TRO	2.67
ILMN_1787190	NM_201266.1	2	NRP2	2.66
ILMN_1738854	NM_020925.2	1	CACHD1	2.66
ILMN_1790252	NM_003771.4	17	KRT36	2.66
ILMN_1735700	NM_007196.2	19	KLK8	2.66
ILMN_1680948	NM_012134.2	1	LMOD1	2.66
ILMN_1890773				2.66
ILMN_1672124	NM_016613.4	4	C4orf18	2.65
ILMN_1669362	NM_002178.2	12	IGFBP6	2.64
ILMN_1776953	NM_006097.3	20	MYL9	2.64
ILMN_1711439	NM_007046.1	2	EMILIN1	2.63
ILMN_1675507	NM_001004065.3	9	AKAP2	2.62
ILMN_2051972	NM_004484.2	X	GPC3	2.62
ILMN_2402817	NM_001018011.1	11	ZBTB16	2.62
ILMN_1691860	NM_199327.1	4	SPRY1	2.62
ILMN_1756049	NM_016575.1	12	NT5DC3	2.62
ILMN_1861376				2.62
ILMN_1764571	XM_290799.7	17	ARHGAP23	2.61
ILMN_1770044	NM_000745.2	15	CHRNA5	2.61
ILMN_1767448	NM_005780.1	13	LHFP	2.61
ILMN_1752658	NM_002507.1	17	NGFR	2.61
ILMN_1794863	NM_018584.5	1	CAMK2N1	2.60
ILMN_1796069	NM_182511.2	18	CBLN2	2.59
ILMN_1731374	NM_001873.1	4	CPE	2.59
ILMN_1714586	NM_016206.2	3	VGLL3	2.59
ILMN_1722809	NM_005010.3	7	NRCAM	2.59
ILMN_1651950	NM_003596.2	7	TPST1	2.58
ILMN_1761968	NM_033256.1	19	PPP1R14A	2.58
ILMN_2128931	NM_001447.1	5	FAT2	2.58
ILMN_1794598	NM_014575.2	3	SCHIP1	2.57
ILMN_2386291	NM_001080436.1	19	WTIP	2.57
ILMN_1667225	NM_005020.1	7	PDE1C	2.57
ILMN_2165463	NM_023002.1	19	HAPLN4	2.57
ILMN_1696699	NM_024581.4	6	C6orf60	2.56
ILMN_1654109	NM_182801.1	5	EGFLAM	2.56
ILMN_1684368	NM_032947.3	5	MST150	2.56
ILMN_1780799	NM_001040092.1	8	ENPP2	2.56
ILMN_2341006	NM_153334.3	22	SCARF2	2.55
ILMN_2133996	NM_001010846.1	1	SHE	2.55
ILMN_2132982	NM_000599.2	2	IGFBP5	2.55
ILMN_1692056	NM_006042.1	17	HS3ST3A1	2.54
ILMN_1760347	NM_002727.2	10	SRGN	2.54
ILMN_1753525	NM_152278.2	X	TCEAL7	2.54
ILMN_1691790	NM_214462.2		DACT2	2.54
ILMN_2409642	NM_001039705.1	X	TRO	2.53
ILMN_1717990	NM_033138.2	7	CALD1	2.53
ILMN_1803213	NM_015419.2	X	MXRA5	2.52
ILMN_1676247	NM_175913.3	20	JPH2	2.52
ILMN_1778668	NM_003186.3	11	TAGLN	2.52
ILMN_1716264	NM_014391.2	10	ANKRD1	2.52
ILMN_1794106	NM_022549.2	11	FEZ1	2.51
ILMN_1773801	NM_015927.3	16	TGFB1I1	2.51
ILMN_1743199	NM_000399.2	10	EGR2	2.51
ILMN_1784320	NM_014800.9	7	ELMO1	2.50
ILMN_1753312	NM_032812.7	10	PLXDC2	2.50
ILMN_1768260	NM_000820.1	13	GAS6	2.50
ILMN_1814797	XM_001132419.1		SLC35F3	2.50
ILMN_1805842	NM_001449.3	X	FHL1	2.50
ILMN_1662640	NM_080757.1	20	C20orf127	2.50
ILMN_2305407	NM_006006.4	11	ZBTB16	2.49
ILMN_1671151	NM_000965.2	3	RARB	2.49
ILMN_1812618	NM_022481.5	5	CENTD3	2.49
ILMN_1740555	NM_130811.1	20	SNAP25	2.49
ILMN_1785405	NM_022082.3	20	C20orf59	2.48
ILMN_1727992	NM_022549.2	11	FEZ1	2.48
ILMN_2228162	NM_005557.2	17	KRT16	2.48
ILMN_1732831	NM_019886.2	X	CHST7	2.48
ILMN_1727360	NM_000898.3	X	MAOB	2.47
ILMN_1676880	NM_006091.1	15	CORO2B	2.47
ILMN_2042771	NM_004219.2	5	PTTG1	2.47
ILMN_2329914	NM_005841.1	4	SPRY1	2.46
ILMN_1733333	NM_005185.2	10	CALML3	2.46
ILMN_2080684	NM_024726.3	2	IQCA	2.46
ILMN_2274306	NM_201264.1	2	NRP2	2.45
ILMN_1776936	NM_181712.3		ANKRD38	2.44
ILMN_1768812	NM_022003.1	11	FXYD6	2.44
ILMN_1702301	NM_014689.2	2	DOCK10	2.44
ILMN_1666323	XM_934577.1	14	LOC647251	2.44
ILMN_1654563	NM_004429.3	X	EFNB1	2.43
ILMN_2129545	NM_021629.2	3	GNB4	2.43
ILMN_1877022				2.42
ILMN_2150402	NM_001008495.2	8	TMEM64	2.42
ILMN_1715991	NM_004657.4	2	SDPR	2.41
ILMN_1658261	NM_014994.1	15	MAPKBP1	2.41
ILMN_1898404	NM_000719.5	12	CACNA1C	2.41
ILMN_2064860	NM_001042507.1	19	LOC653499	2.41
ILMN_1729368	NM_031866.1	10	FZD8	2.40
ILMN_1755352	NM_177972.1	11	TUB	2.40
ILMN_1679797	NM_001112.2	21	ADARB1	2.40
ILMN_1702973	NM_032181.1	2	TMEM166	2.39
ILMN_1679836	NM_138567.2	11	SYT8	2.38
ILMN_2407799	NM_181339.1	1	IL24	2.38
ILMN_2196328	NM_006475.1	13	POSTN	2.37
ILMN_1792356	NM_006426.1	10	DPYSL4	2.37
ILMN_1755822	NM_033025.4	19	SYDE1	2.37
ILMN_2370624	NM_080805.2	10	COL13A1	2.37
ILMN_2411236	NM_005010.3	7	NRCAM	2.36
ILMN_2136089	NM_175621.2		MTE	2.36
ILMN_1706261	XM_941061.1		SLCO3A1	2.36
ILMN_2394276	NM_183380.1	6	DST	2.36
ILMN_2312764	NM_001042478.1	1	AJAP1	2.35
ILMN_2205963	NM_022153.1	10	C10orf54	2.35
ILMN_1656186	NM_173854.4	1	SLC41A1	2.35
ILMN_1907834				2.35
ILMN_2384122	NM_201525.1	16	GPR56	2.35
ILMN_1826572				2.34
ILMN_2407389	NM_002510.2	7	GPNMB	2.34
ILMN_2169152	NM_002727.2	10	SRGN	2.34
ILMN_1913982				2.33
ILMN_1829768				2.33
ILMN_1746265	NM_015077.2	17	SARM1	2.33
ILMN_1663976	NM_003687.2	5	PDLIM4	2.33
ILMN_1674344	NM_032510.3	18	PARD6G	2.33
ILMN_1658569	XM_001128786.1	19	LOC728910	2.33
ILMN_1687301	NM_004385.2	5	VCAN	2.32
ILMN_1839051				2.32
ILMN_1801460	XM_940852.1		LOC651647	2.32
ILMN_1743241	NM_001037164.1	7	ARL4A	2.32
ILMN_1661156	NM_020718.3	16	USP31	2.31
ILMN_1751559	NM_024600.2		C16orf30	2.31
ILMN_2133205	NM_002083.2	14	GPX2	2.30
ILMN_2395214	NM_198900.2	12	FMNL3	2.30
ILMN_1789639	NM_002023.3	1	FMOD	2.29
ILMN_1727815	NM_000204.2	4	CFI	2.29
ILMN_2139125	NM_152447.2	14	LRFN5	2.28
ILMN_1773459	NM_003108.3	2	SOX11	2.28
ILMN_1807300	NM_000297.2	4	PKD2	2.28
ILMN_1750324	NM_000599.2	2	IGFBP5	2.28
ILMN_1809291	NM_004615.2	X	TSPAN7	2.28
ILMN_1791494	XM_942780.2		SYNPO2	2.27
ILMN_1736096	NM_016941.2	19	DLL3	2.27
ILMN_1782761	NM_020809.2	11	ARHGAP20	2.27
ILMN_1652512	NM_015500.1	21	C2CD2	2.27
ILMN_2373791	NM_001040092.1	8	ENPP2	2.26
ILMN_1868465				2.26
ILMN_1664362	NM_032291.2	1	SGIP1	2.26
ILMN_2387385	NM_001013029.1	7	IGFBP1	2.26
ILMN_2041788	NM_005032.3	X	PLS3	2.25
ILMN_1788203	NM_001040708.1	8	HEY1	2.25
ILMN_1716246	NM_001463.2	2	FRZB	2.25
ILMN_1672403	NM_007037.3	11	ADAMTS8	2.24
ILMN_1697548	NM_012302.2	1	LPHN2	2.24
ILMN_1713873	NM_001080427.1	2	THSD7B	2.24
ILMN_1853876				2.23
ILMN_1760493	NM_017980.3	2	LIMS2	2.23
ILMN_2129234	NM_031442.2	X	TMEM47	2.22
ILMN_1717909	NM_018043.4	11	TMEM16A	2.22
ILMN_1782581	NM_001947.2	3	DUSP7	2.22
ILMN_1714418	NM_182705.2	17	FAM101B	2.22
ILMN_1806607	NM_006142.3	1	SFN	2.22
ILMN_1673769	NM_002237.3	20	KCNG1	2.21
ILMN_1681103	NM_198098.1	7	AQP1	2.21
ILMN_2138589	NM_006343.2	2	MERTK	2.21
ILMN_1676563	NM_002775.3	10	HTRA1	2.20
ILMN_1670325	NM_018242.2	17	SLC47A1	2.20
ILMN_2049021	NR_002734.1	8	PTTG3	2.20
ILMN_1760247	NM_001252.3	19	CD70	2.20
ILMN_1753196	NM_004219.2	5	PTTG1	2.19
ILMN_1719919	NM_033495.2	X	KLHL13	2.19
ILMN_1671473	NM_014600.1	2	EHD3	2.19
ILMN_1844408	NM_025179.3	1	PLXNA2	2.18
ILMN_2148668	NM_001268.2	13	RCBTB2	2.18
ILMN_2219002	NM_005554.3	12	KRT6A	2.18
ILMN_1909770				2.18
ILMN_1779257	NM_001250.4	20	CD40	2.17
ILMN_1770084	NM_006283.1	8	TACC1	2.17
ILMN_1786598	NM_021110.1	8	COL14A1	2.17
ILMN_1694767	XM_942297.1		LOC652688	2.17
ILMN_2352097	NM_201524.1	16	GPR56	2.17
ILMN_1728202	NM_001097599.1	3	TMEM22	2.16
ILMN_1790533	NM_001100164.1	6	PHACTR2	2.16
ILMN_2131447	NM_052953.2	3	LRRC3B	2.15
ILMN_1709486	NM_006307.3	X	SRPX	2.15
ILMN_1700541	NM_001996.2	22	FBLN1	2.14
ILMN_1704369	NM_016357.3	12	LIMA1	2.14
ILMN_1798855	NM_005447.3	12	RASSF9	2.14
ILMN_1797735	NM_030806.3	1	C1orf21	2.14
ILMN_1847494				2.14
ILMN_1664537	NM_004651.3	X	USP11	2.13
ILMN_1859524				2.13
ILMN_2342695	NM_033023.3	7	PDGFA	2.13
ILMN_2234187	NM_001801.2	5	CDO1	2.13
ILMN_1807169	NM_022164.1	1	TINAGL1	2.13
ILMN_1803094	NM_033135.3	11	PDGFD	2.12
ILMN_1802434	NM_175913.3	20	JPH2	2.12
ILMN_1715401	NM_005950.1	16	MT1G	2.12
ILMN_1792256	NM_005994.3	17	TBX2	2.11
ILMN_1702636	NM_032525.1	18	TUBB6	2.11
ILMN_2317543	NM_001005731.1	17	ITGB4	2.11
ILMN_1690454	NM_203370.1	3	C3orf54	2.10
ILMN_2319326	NM_015833.2	21	ADARB1	2.10
ILMN_1801223	XM_059037.7	19	WTIP	2.10
ILMN_1685608	NM_002523.1	7	NPTX2	2.10
ILMN_1660552	NM_021073.2	6	BMP5	2.10
ILMN_1683148	NM_198859.2	3	PRICKLE2	2.09
ILMN_2376403	NM_004089.3	X	TSC22D3	2.09
ILMN_1666819	NM_015157.1	11	PHLDB1	2.09
ILMN_1769288	XM_944321.1		LOC402560	2.09
ILMN_1676616	NM_002851.2	7	PTPRZ1	2.09
ILMN_1746013	NM_004598.3	5	SPOCK1	2.08
ILMN_1763011	NM_024728.1	7	C7orf10	2.08
ILMN_2377199	NM_014031.3	5	SLC27A6	2.08
ILMN_1656410	NM_004621.4	11	TRPC6	2.08
ILMN_1704063	NM_012284.1	12	KCNH3	2.07
ILMN_1733249	NM_021629.3	3	GNB4	2.07
ILMN_1872457				2.07
