ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position	gc	gene_short_name	mean_exprs	exprs_rank	n_cells_exprs	total_feature_exprs	pct_total_exprs	pct_dropout	total_feature_counts	log10_total_feature_counts	pct_total_counts	total_feature_tpm	log10_total_feature_tpm	pct_total_tpm	is_feature_control
AAK1	ENSG00000115977	AAK1	2	69457997	69674349	0.415164106806931	AAK1	0.163136694742778	7564	459	193.969530049163	0.00469394130017214	61.3961312026913	86.0710124144256	1.93987359422915	0.000652960343495626	12228.69	4.08741544861472	0.0010869548949774	FALSE
AAMDC	ENSG00000087884	AAMDC	11	77821109	77918432	0.471291767703752	AAMDC	0.377909516698891	10792	555	449.334415354982	0.0108736117950529	53.3221194280908	1153.19070674227	3.06227757315511	0.00874844827390688	85477.61	4.93185745132266	0.00759773177670453	FALSE
AAMP	ENSG00000127837	AAMP	2	218264123	218270257	0.412713936430318	AAMP	0.714603264064072	12210	743	849.663280972182	0.0205613199391896	37.5105130361649	2337.10648813879	3.36886428704733	0.0177299861181277	145282.89	5.16221745963872	0.0129135621593125	FALSE
AAR2	ENSG00000131043	AAR2	20	36236459	36270918	0.479541497388276	AAR2	0.215691608214909	8755	453	256.457322167527	0.00620610678362007	61.9007569386039	558.083265908923	2.74747649345313	0.00423378592611949	38303.26	4.58324707662163	0.00340460964752496	FALSE
AARD	ENSG00000205002	AARD	8	116938199	116944487	0.352997296867546	AARD	0.291553098609615	9918	377	346.656634246832	0.00838887371669896	68.2926829268293	930.023584803708	2.96896068272181	0.00705543599822562	89943.59	4.95397504646083	0.00799469325188063	FALSE
AARS	ENSG00000090861	AARS	16	70252295	70289543	0.42068243442777	AARS	0.367733014223233	10690	576	437.234553911424	0.0105808027165246	51.555929352397	965.994123550654	2.98542383487175	0.00732831922193907	75653.43	4.87883436353205	0.00672450328369841	FALSE
AARS2	ENSG00000124608	AARS2	6	44299654	44313326	0.468587727638411	AARS2	0.189811936186102	8235	418	225.686392125275	0.00546146952366783	64.8444070647603	217.361497864522	2.33917606471464	0.00164896908177363	26419.13	4.42193495022566	0.00234828118748159	FALSE
AARSD1	ENSG00000266967	AARSD1	17	42950526	42964498	0.445931439204179	AARSD1	0.306220349206531	10080	502	364.095995206565	0.00881089534368724	57.7796467619849	2416.40858591559	3.38335006025946	0.0183315954585051	440509.37	5.64395613654095	0.039154955764265	FALSE
AASDH	ENSG00000157426	AASDH	4	56338287	56387508	0.369021982040551	AASDH	0.0892029524732483	4991	123	106.062310490692	0.00256664157240448	89.6551724137931	169.387777250247	2.23143843747786	0.00128502614428112	11735.11	4.06952417140178	0.0010430827224828	FALSE
AASDHPPT	ENSG00000149313	AASDHPPT	11	106075501	106098710	0.399052132701422	AASDHPPT	0.269842368068117	9656	460	320.842575632991	0.00776418964481478	61.3120269133726	611.742328488891	2.78727788260743	0.00464085956160978	50745.76	4.70540831931353	0.00451056918045582	FALSE
AASS	ENSG00000008311	AASS	7	122075647	122144280	0.349739196316694	AASS	0.334588582401265	10378	286	397.825824475104	0.00962713611413827	75.946173254836	450.346613689208	2.65451018843394	0.00341646358417079	44619.38	4.64953326454039	0.00396602199433108	FALSE
AATF	ENSG00000276072	AATF	CHR_HSCHR17_7_CTG4	36950708	37058704	NA	AATF	0.34369142373186	10464	513	408.649102817181	0.00988905268010745	56.8544995794785	1077.60496632453	3.03286241562058	0.00817503232767747	74280.88	4.87088288676529	0.00660250330323433	FALSE
AATK	ENSG00000181409	AATK	17	81117295	81166077	0.554209458212902	AATK	0.00566734534256785	106	12	6.73847361231317	0.000163066846534815	98.9907485281749	7.34656832513165	0.92150795287333	5.57332560931753e-05	559.28	2.74840511997843	4.97119588167628e-05	FALSE
ABAT	ENSG00000183044	ABAT	16	8674565	8784575	0.420712474207125	ABAT	0.0572466110850727	3301	59	68.0662205801515	0.00164715996294274	95.0378469301934	100.596558113629	2.00687899517646	0.000763155460796505	5963.99	3.77560971993453	0.000530113047603321	FALSE
ABCA1	ENSG00000165029	ABCA1	9	104781002	104928237	0.357568801108425	ABCA1	0.32277206624579	10256	288	383.775986766245	0.00928713882969047	75.7779646761985	547.728033400697	2.73935714798583	0.00415522804715565	50987.56	4.70747274695699	0.00453206172737667	FALSE
ABCA10	ENSG00000154263	ABCA10	17	69147214	69244846	0.363770446467895	ABCA10	0.0276413050010049	1358	32	32.8655116461949	0.000795324824616846	97.3086627417998	54.6381021358141	1.74537230740914	0.000414500921248266	3854.67	3.58609985632208	0.000342624796688977	FALSE
ABCA11P	ENSG00000251595	ABCA11P	4	425435	474129	0.40478488551186	ABCA11P	0.0486435439624601	2758	68	57.837173771365	0.00139962342839019	94.2809083263246	70.5809326404884	1.8547973525896	0.000535447983338126	21510.51	4.33267089674965	0.0019119753741374	FALSE
ABCA13	ENSG00000179869	ABCA13	7	48171458	48647496	0.390129800289472	ABCA13	0.0395203534418633	2148	40	46.9897002423754	0.00113712135403169	96.6358284272498	743.350789204048	2.87177765316965	0.00563928055498358	115595.05	5.06294299418388	0.0102747396027422	FALSE
ABCA2	ENSG00000107331	ABCA2	9	137007227	137028922	0.548211651917404	ABCA2	0.0269979717014236	1303	47	32.1005883529927	0.000776814159377231	96.0470984020185	53.1135791891145	1.73330626005852	0.000402935435970238	3619.75	3.55879853935203	0.000321743782947678	FALSE
ABCA3	ENSG00000167972	ABCA3	16	2275881	2340746	0.56858754971788	ABCA3	0.0225451252720204	999	37	26.8061539484322	0.000648692158430383	96.8881412952061	45.8568152415383	1.6707727671882	0.000347883462640808	2145.8	3.331791586615	0.000190730798936149	FALSE
ABCA5	ENSG00000154265	ABCA5	17	69244311	69327244	0.380748547037403	ABCA5	0.120003817938111	6219	155	142.684539528414	0.00345287660808743	86.9638351555929	161.250151490922	2.21018511096788	0.00122329169081073	12325.2	4.0908292101407	0.00109553324776206	FALSE
ABCA6	ENSG00000154262	ABCA6	17	69078702	69141888	0.375362020668808	ABCA6	0.0526076422146184	3022	50	62.5504865931813	0.00151368265052341	95.7947855340622	114.218994445923	2.0615240806762	0.000866499321374722	8707.97	3.93996679452919	0.00077401345661852	FALSE
ABCA7	ENSG00000064687	ABCA7	19	1040101	1065572	0.604860238693467	ABCA7	0.0331308647930924	1734	38	39.3925982389869	0.000953276237500823	96.8040370058873	66.1102491803174	1.82678885135445	0.000501532046649036	5811.63	3.76437267904232	0.000516570432016634	FALSE
ABCA8	ENSG00000141338	ABCA8	17	68867292	68955392	0.375251132223244	ABCA8	0.0768968721746317	4380	47	91.4303810156371	0.00221255803131037	96.0470984020185	211.971999762656	2.32832250884757	0.00160808274346824	16378.98	4.21431336714998	0.00145585606354703	FALSE
ABCA9	ENSG00000154258	ABCA9	17	68974488	69061064	0.379812190304584	ABCA9	0.110049096967347	5858	330	130.848376294176	0.00316644886128261	72.2455845248108	80.5721920509986	1.91154213305451	0.000611244653943423	20296.49	4.30744233611288	0.0018040664336376	FALSE
ABCB1	ENSG00000085563	ABCB1	7	87503633	87713323	0.381265767247998	ABCB1	0.0422098853658378	2349	29	50.1875536999812	0.00121450740746364	97.5609756097561	96.5994497403663	1.98944736914829	0.000732832205809938	7518.45	3.87618607587084	0.000668282214214508	FALSE
ABCB10	ENSG00000135776	ABCB10	1	229516582	229558695	0.481929999525099	ABCB10	0.081035132020968	4593	67	96.350771972931	0.00233162841479576	94.3650126156434	138.68195824658	2.14514031491907	0.00105208265306934	11253.62	4.05133083610338	0.00100028517733425	FALSE
ABCB5	ENSG00000004846	ABCB5	7	20615207	20777038	0.375877453161303	ABCB5	0.149685395650106	7180	437	177.975935427976	0.00430690631425672	63.2464255677039	109.980632172332	2.04524719433085	0.000834345842422974	22345.32	4.34920601358507	0.00198617799239627	FALSE
ABCB6	ENSG00000115657	ABCB6	2	219209768	219218990	0.471755394123387	ABCB6	0.12768656255769	6459	305	151.819322881093	0.00367393265145876	74.3481917577796	350.556994482274	2.54599574296213	0.0026594298023335	24872.6	4.39573864602539	0.00221081688396834	FALSE
ABCB7	ENSG00000131269	ABCB7	X	75053172	75156732	0.391991193596045	ABCB7	0.16054285563685	7500	313	190.885455352215	0.00461930862158004	73.6753574432296	434.793659486855	2.63928090725511	0.00329847423986702	26708.06	4.42665860370851	0.00237396291445364	FALSE
ABCB8	ENSG00000197150	ABCB8	7	151028422	151047782	0.436289447859098	ABCB8	0.0482350679978415	2735	57	57.3514958494335	0.00138787032646867	95.2060555088309	95.9650924077705	1.98661541567657	0.000728019782089437	6771.76	3.83076568618921	0.000601912198249538	FALSE
ABCB9	ENSG00000150967	ABCB9	12	122920951	122981649	0.446382971712878	ABCB9	0.0225281071570609	998	27	26.7859194097454	0.000648202495250769	97.7291841883936	54.8437671319149	1.7469747074199	0.000416061157182896	3742.09	3.57323026954922	0.000332618051724753	FALSE
ABCC1	ENSG00000103222	ABCC1	16	15949577	16143074	0.467110771170761	ABCC1	0.0895601941994313	5006	113	106.487070903124	0.00257692050869971	90.4962153069807	133.216093895153	2.12780459534702	0.00101061697764282	12568.25	4.09930936435429	0.00111713690172861	FALSE
ABCC10	ENSG00000124574	ABCC10	6	43427366	43450430	0.463125948406677	ABCC10	0.0454493500100506	2554	55	54.0392771619501	0.0013077167060086	95.3742640874685	94.3311085728358	1.97923464331342	0.000715623893901343	5711.44	3.75682165153642	0.000507664980089422	FALSE
ABCC11	ENSG00000121270	ABCC11	16	48166910	48247568	0.465688887786856	ABCC11	0.0293313195818111	1476	24	34.8749389827734	0.000843951709274815	97.9814970563499	79.4051059789162	1.90528362869941	0.00060239079128817	4236.06	3.62706461398551	0.000376524889617609	FALSE
ABCC13	ENSG00000243064	ABCC13	21	14236206	14362754	0.0722644983366127	ABCC13	0.0190228966498358	774	10	22.6182241166548	0.00054734687603154	99.1589571068125	8.1130290378283	0.959662754115096	6.15478554129624e-05	1634.96	3.2137726807585	0.000145324460354482	FALSE
ABCC3	ENSG00000108846	ABCC3	17	50634777	50692252	0.382089915790939	ABCC3	0.0441600059778404	2466	37	52.5062471076522	0.00127061833759759	96.8881412952061	83.1284353079604	1.92494281161336	0.000630637076877726	7144.93	3.85405875763152	0.000635081651245625	FALSE
ABCC4	ENSG00000125257	ABCC4	13	95019829	95301446	0.401696624505536	ABCC4	0.0639860943773832	3694	49	76.0794662147087	0.00184107549505203	95.878889823381	129.677014665231	2.11619920439824	0.000983768468199231	12718.92	4.10448437989197	0.00113052930058951	FALSE
ABCC5	ENSG00000114770	ABCC5	3	183919934	184018015	0.506107134846353	ABCC5	0.203980027703275	8506	384	242.532252939194	0.00586912881835893	67.703952901598	450.773443293023	2.65492069809768	0.00341970164071159	31545.21	4.49894719004744	0.00280391607135269	FALSE
ABCC8	ENSG00000006071	ABCC8	11	17392885	17476845	0.504269839568371	ABCC8	0.0282131456552785	1408	23	33.5454301841261	0.000811778427948974	98.0656013456686	62.1577013704392	1.8004263154417	0.000471546841372325	3770.5	3.57651411205196	0.000335143292659498	FALSE
ABCC9	ENSG00000069431	ABCC9	12	21797401	21942529	0.38361733354464	ABCC9	0.837826314728654	12466	931	996.175488212369	0.024106823711714	21.6989066442389	1448.46925467539	3.16120900777902	0.0109885193114933	284832.34	5.45459082250197	0.0253175038545311	FALSE
ABCD1	ENSG00000101986	ABCD1	X	153724868	153744762	0.515807991957778	ABCD1	0.0199425622276862	831	30	23.7117064887189	0.000573808465467476	97.4768713204373	32.1376016559526	1.52032107302486	0.000243805420986072	2005.83	3.30251058465045	0.000178289476386474	FALSE
ABCD3	ENSG00000117528	ABCD3	1	94418455	94518666	0.449896220013571	ABCD3	0.194138857939357	8330	339	230.831102089896	0.00558596828682005	71.488645920942	418.789631067984	2.6230317071726	0.00317706291216724	45568.38	4.65867311977379	0.00405037446342905	FALSE
ABCD4	ENSG00000119688	ABCD4	14	74285423	74303056	0.440002268345242	ABCD4	0.148487276207691	7140	322	176.551371410944	0.00427243275610255	72.9184188393608	330.533463837462	2.52052737113134	0.00250752533320888	22845.7	4.35882347901026	0.00203065458721949	FALSE
ABCE1	ENSG00000164163	ABCE1	4	145097932	145129179	0.377528161802355	ABCE1	0.398139027874452	10959	597	473.387304142724	0.0114556766587489	49.7897392767031	906.975245933707	2.95807400854208	0.00688058443271717	63645.79	4.80377650507622	0.00565719655868319	FALSE
ABCF1	ENSG00000206490	ABCF1	CHR_HSCHR6_MHC_QBL_CTG1	30560870	30586674	NA	ABCF1	0.293067172301957	9939	521	348.456867867027	0.00843243824427014	56.1816652649285	711.074298826725	2.85252531089385	0.00539442148277777	56585.27	4.75271106746764	0.00502961774401982	FALSE
ABCF2	ENSG00000033050	ABCF2	7	151207837	151227230	0.457873569145096	ABCF2	0.29587988655125	9974	489	351.801185109436	0.00851336862968191	58.8730025231287	719.760023934004	2.85779069103104	0.00546031398119815	63367.79	4.80187541453663	0.00563248635171877	FALSE
ABCF3	ENSG00000161204	ABCF3	3	184186023	184194012	0.419649561952441	ABCF3	0.31252590865491	10154	566	371.593305390688	0.0089923255606112	52.3969722455845	735.394368850701	2.86711045882924	0.00557892077970984	48112.89	4.68227047095866	0.00427654485451909	FALSE
ABCG1	ENSG00000160179	ABCG1	21	42199689	42297244	0.422752060355078	ABCG1	0.0782977236548873	4451	67	93.0959934256609	0.00225286480980032	94.3650126156434	153.86993143164	2.18996710606828	0.00116730314263636	10677.16	4.02849642397614	0.000949046163281338	FALSE
ABHD10	ENSG00000144827	ABHD10	3	111979010	111993363	0.348056290929358	ABHD10	0.234333237261415	9111	460	278.622219103823	0.00674248342544092	61.3120269133726	522.017780579945	2.71851645344948	0.00396018240934711	35647.48	4.55204101688955	0.00316854895165458	FALSE
ABHD11	ENSG00000106077	ABHD11	7	73736094	73738867	0.478731074260995	ABHD11	0.606934774121657	11952	423	721.64544643065	0.0174633684178306	64.4238856181665	1462.64076973242	3.16543449826142	0.0110960286468656	163451.41	5.21339132835466	0.0145284826249138	FALSE
ABHD12	ENSG00000100997	ABHD12	20	25294743	25390983	0.457195997547823	ABHD12	0.16030718860905	7495	339	190.605247256161	0.00461252776092437	71.488645920942	403.2336456105	2.60663245835014	0.00305905057185893	26625.06	4.42530690632425	0.00236658540661894	FALSE
ABHD13	ENSG00000139826	ABHD13	13	108218379	108234255	0.377401272280658	ABHD13	0.105055406506889	5650	184	124.910878336691	0.0030227651245882	84.524810765349	177.944892889181	2.25271930808116	0.00134994297295774	12129.49	4.08387834414753	0.00107813743983038	FALSE
ABHD14A	ENSG00000248487	ABHD14A	3	51971426	51981199	0.569981583793739	ABHD14A	0.186499753922471	8148	371	221.748207413818	0.00536616791696635	68.7973086627418	597.565994424067	2.77711204017961	0.00453331366780866	50756.41	4.70549945322949	0.00451151581248521	FALSE
ABHD14B	ENSG00000114779	ABHD14B	3	51968510	51983409	0.568791946308725	ABHD14B	0.14939429254324	7170	352	177.629813833912	0.00429853038817777	70.3952901597982	368.271015094051	2.56734522024581	0.00279381364027028	23987.72	4.38000707532225	0.00213216376188678	FALSE
ABHD15	ENSG00000168792	ABHD15	17	29560547	29567137	0.390987710514338	ABHD15	0.150991059902159	7225	413	179.528370223667	0.00434447426527186	65.2649285113541	146.46493223775	2.16868875559323	0.00111112661256435	34392.72	4.53647915134105	0.00305701881032122	FALSE
ABHD16A	ENSG00000224552	ABHD16A	CHR_HSCHR6_MHC_MANN_CTG1	31726403	31742871	NA	ABHD16A	0.356926457990937	10598	534	424.385558551224	0.0102698650657932	55.0883095037847	1185.77544210571	3.07436855090034	0.00899564578441342	75186.18	4.87614379631112	0.00668297147001451	FALSE
ABHD17A	ENSG00000129968	ABHD17A	19	1876810	1885547	0.651522087434195	ABHD17A	0.0370025953049986	1976	31	43.9960858176433	0.00106467775744474	97.3927670311186	82.129287075454	1.91975405596774	0.000623057240707574	6268.39	3.79722528684002	0.000557169835372993	FALSE
ABHD17B	ENSG00000107362	ABHD17B	9	71862452	71910931	0.422132838283828	ABHD17B	0.0833783010030292	4696	66	99.1367998926017	0.0023990485478046	94.4491169049622	157.810977664973	2.20088051934134	0.00119720109352671	11263.45	4.05170999163941	0.00100115892314166	FALSE
ABHD2	ENSG00000140526	ABHD2	15	89087459	89202360	0.468364345268142	ABHD2	0.133945113792821	6656	179	159.260740299664	0.003854010298417	84.9453322119428	196.526428834563	2.29562521200863	0.00149090804067593	13896.32	4.14293105770517	0.00123518324907838	FALSE
ABHD3	ENSG00000158201	ABHD3	18	21650897	21704805	0.41837170045818	ABHD3	0.234967967329433	9119	313	279.376913154696	0.00676074654941452	73.6753574432296	597.806601167167	2.77728657930407	0.0045351389822463	53655.23	4.72962015496068	0.00476917927346577	FALSE
ABHD4	ENSG00000100439	ABHD4	14	22598237	22613215	0.369116763468856	ABHD4	0.140746515761284	6898	183	167.347607240167	0.00404970742008042	84.6089150546678	456.761504270414	2.66063926761792	0.00346512885532182	33309.9	4.52258636669758	0.00296077166533845	FALSE
ABHD5	ENSG00000011198	ABHD5	3	43690113	43734371	0.415621681465917	ABHD5	0.147418042378517	7105	400	175.280052388056	0.00424166763095266	66.3582842724979	230.642422768082	2.36481809860854	0.00174972213490624	16844.26	4.22647771853435	0.0014972127725269	FALSE
ABHD8	ENSG00000127220	ABHD8	19	17292131	17310236	0.538716447586435	ABHD8	0.017600080077533	680	24	20.9264952121867	0.00050640809471179	97.9814970563499	35.6622345794267	1.56421893187384	0.00027054433644493	1949.92	3.29023946095223	0.000173319880446256	FALSE
ABI1	ENSG00000136754	ABI1	10	26746593	26861087	0.413965675357002	ABI1	0.70128473067335	12177	798	833.827544770613	0.0201781050282892	32.8847771236333	1796.74308460238	3.25472762682332	0.0136306283472823	117478.55	5.06996227430896	0.0104421556992079	FALSE
ABI2	ENSG00000138443	ABI2	2	203328219	203447723	0.409840592443831	ABI2	0.28256298939413	9812	289	335.96739438962	0.00813020079822309	75.6938603868797	354.628986428625	2.55099715199715	0.00269032114641574	31994.65	4.50509093740074	0.00284386483184941	FALSE
ABI3	ENSG00000108798	ABI3	17	49210227	49223225	0.4618816832064	ABI3	0.0625860485308066	3621	40	74.4148117031291	0.00180079189710528	96.6358284272498	136.505525104474	2.13832014888757	0.00103557158282397	9988.95	3.99956331457449	0.000887874179342552	FALSE
ABI3BP	ENSG00000154175	ABI3BP	3	100749156	100993515	0.382525781633655	ABI3BP	0.0973376766073154	5359	62	115.734497486098	0.00280070244778638	94.7855340622372	240.642761174902	2.38317378963056	0.00182558768148247	20627.37	4.31446491251154	0.00183347691306345	FALSE
ABL1	ENSG00000097007	ABL1	9	130713946	130887675	0.512427329764577	ABL1	0.07309823133217	4174	80	86.9137970539501	0.00210325952453931	93.2716568544996	145.449951795559	2.16568923306831	0.00110342666853461	8932.23	3.9510085157245	0.000793946949474061	FALSE
ABL2	ENSG00000143322	ABL2	1	179099327	179229684	0.413798922965986	ABL2	0.322371531494729	10252	609	383.299750947232	0.00927561422075361	48.780487804878	325.056013999422	2.51329221504087	0.00246597176682923	49395.07	4.69369239740121	0.004390512240007	FALSE
ABLIM1	ENSG00000099204	ABLIM1	10	114431113	114685003	0.43465109042857	ABLIM1	0.301031433267706	10035	560	357.926374155303	0.0086615943733153	52.901597981497	692.835855177531	2.8412567390105	0.00525605921543668	48442.79	4.68523811282977	0.00430586822602111	FALSE
ABLIM3	ENSG00000173210	ABLIM3	5	149141483	149260542	0.48499076096086	ABLIM3	0.04480892284111	2512	43	53.2778092580798	0.00128928965902948	96.3835155592935	85.9707841947082	1.93937338602153	0.000652199982359644	5672.5	3.75385105919879	0.000504203773401672	FALSE
ABR	ENSG00000159842	ABR	17	1003518	1229021	0.534052611040159	ABR	0.0787829145964465	4478	80	93.6728854551748	0.00226682523607133	93.2716568544996	188.844532203143	2.2783980933473	0.00143263088414618	12580.66	4.09973794486751	0.00111823997247836	FALSE
ABRACL	ENSG00000146386	ABRACL	6	139028682	139043302	0.406606935230148	ABRACL	0.951908061694394	12627	749	1131.81868535463	0.0273893042383828	37.0058873002523	3514.01696492361	3.54592742544544	0.0266583796344589	342455.61	5.53460555325528	0.030439384889303	FALSE
ABT1	ENSG00000146109	ABT1	6	26596952	26600744	0.491958871605589	ABT1	0.473986704162168	11428	643	563.570191248818	0.0136380461177498	45.9209419680404	1245.38310413823	3.09565155310988	0.00944784726762965	85747.29	4.93322546806211	0.00762170245517275	FALSE
ABTB1	ENSG00000114626	ABTB1	3	127672935	127680920	0.408339594290008	ABTB1	0.106808878877973	5723	92	126.99575698591	0.00307321788381763	92.2624053826745	250.861668691431	2.40116207642028	0.00190311135844371	18375.89	4.26427201574863	0.00163335268005536	FALSE
ABTB2	ENSG00000166016	ABTB2	11	34150988	34358008	0.481042985977268	ABTB2	0.0152315914781472	548	29	18.110362267517	0.000438259438928532	97.5609756097561	24.8326277290685	1.4121685854296	0.00018838771239031	1212.97	3.08420795445304	0.000107815610581406	FALSE
ACAA1	ENSG00000060971	ACAA1	3	38103129	38137242	0.477135486896875	ACAA1	0.357833896045394	10604	558	425.464502397973	0.0102959748320102	53.0698065601346	1043.65774489263	3.01897402838887	0.00791749859192722	73873.59	4.86849508358499	0.00656630107231873	FALSE
ACAA2	ENSG00000167315	ACAA2	18	49782167	49813960	0.364030949235705	ACAA2	0.495488717421373	11529	623	589.136085014013	0.0142567247555227	47.6030277544155	1711.74950552658	3.23369385080995	0.0129858417340955	110521.79	5.04345183956614	0.0098237996581943	FALSE
ACACA	ENSG00000278540	ACACA	17	37084988	37406818	0.486454070614701	ACACA	0.0669235596967568	3863	97	79.5721124794438	0.00192559535002501	91.8418839360807	93.907922308561	1.97730246607627	0.000712413476819771	5118.2	3.70920209716103	0.000454934465054991	FALSE
ACACB	ENSG00000076555	ACACB	12	109116595	109268226	0.477900443178221	ACACB	0.029827423084608	1505	34	35.4648060475989	0.00085822612328455	97.1404541631623	23.8505343981401	1.39533573245236	0.000180937259784732	2139.1	3.33043406700971	0.00019013526517118	FALSE
ACAD10	ENSG00000111271	ACAD10	12	111686056	111757107	0.505798570061364	ACAD10	0.0958083573230157	5303	272	113.916136857066	0.00275669925793972	77.1236333052986	210.276555342488	2.32485130751	0.00159522059696949	12794.61	4.10706099466394	0.00113725705442094	FALSE
ACAD11	ENSG00000240303	ACAD11	3	132558138	132660723	0.387518764743727	ACAD11	0.142954152657051	6969	117	169.972487509233	0.00411322788074171	90.1597981497056	334.805098450455	2.52608728564387	0.00253993122604023	22731.54	4.35664796394118	0.0020205074029495	FALSE
ACAD8	ENSG00000151498	ACAD8	11	134253495	134265855	0.553029690154518	ACAD8	0.172112933878965	7811	396	204.64227838209	0.00495221513407569	66.6947014297729	479.501531059665	2.68169477583329	0.00363764147352963	32213.71	4.50805422613816	0.00286333611939483	FALSE
ACAD9	ENSG00000177646	ACAD9	3	128879596	128916067	0.43902171528844	ACAD9	0.222691475722996	8902	435	264.780164634642	0.00640751436542591	63.4146341463415	606.3101086534	2.78341050999767	0.00459964912350493	38534.13	4.58585682843653	0.00342513067443818	FALSE
ACADM	ENSG00000117054	ACADM	1	75724347	75787575	0.364848408167138	ACADM	0.472036242755794	11419	614	561.251092636639	0.0135819253819202	48.3599663582843	1194.28943026117	3.07747307912992	0.00906023543515135	125930.36	5.10013389356314	0.0111934002111646	FALSE
ACADS	ENSG00000122971	ACADS	12	120725735	120740008	0.45824576152445	ACADS	0.114419045171888	6019	247	136.044244709374	0.00329218562693947	79.2262405382675	346.500139298803	2.54095498301732	0.00262865329024419	24699.57	4.39270697532438	0.00219543700227391	FALSE
ACADSB	ENSG00000196177	ACADSB	10	123008979	123058311	0.416759572699816	ACADSB	0.207684543408102	8593	181	246.936922112233	0.00597571905724687	84.7771236333053	326.197098822107	2.51480944423176	0.00247462837625995	32501.7	4.51191943932952	0.00288893429386851	FALSE
ACADVL	ENSG00000072778	ACADVL	17	7217125	7225273	0.568413302245674	ACADVL	0.815050769117264	12416	769	969.095364480426	0.0234515016558895	35.3238015138772	2602.50712981521	3.41555877134728	0.0197433944572627	212936.85	5.32825286475026	0.018927027459897	FALSE
ACAP1	ENSG00000072818	ACAP1	17	7336529	7351478	0.57257525083612	ACAP1	0.123945443497975	6343	68	147.371132319092	0.00356628922218037	94.2809083263246	377.113526115919	2.57762221349698	0.00286089556335029	31883.86	4.50358451442784	0.00283401719217464	FALSE
ACAP2	ENSG00000114331	ACAP2	3	195274736	195443078	0.480685267578693	ACAP2	0.226685498504999	8975	271	269.529057722444	0.00652243460774069	77.2077375946173	343.817289951587	2.53758903424753	0.0026083003957892	28931.3	4.46138295966264	0.0025715770170852	FALSE
ACAP3	ENSG00000131584	ACAP3	1	1292376	1309609	0.557908784959963	ACAP3	0.0159197311272322	581	21	18.928560310279	0.000458059319784393	98.2338099243061	25.5622566760186	1.42426496905099	0.000193922894961778	2986.32	3.47528174647106	0.000265440954179794	FALSE
